transaction_id,item
1,milk
1,cheese
1,cheese
2,cheese
2,bread
2,bread
3,beer
3,eggs
3,beer
4,eggs
4,bread
4,bread
5,cheese
5,beer
5,bread
6,eggs
6,cheese
6,beer
7,bread
7,bread
7,milk
8,bread
8,beer
8,beer
9,cheese
9,cheese
9,cheese
10,eggs
10,beer
10,eggs
11,beer
11,eggs
11,bread
12,bread
12,milk
12,beer
13,cheese
13,eggs
13,milk
14,beer
14,cheese
14,beer
15,eggs
15,beer
15,eggs
16,cheese
16,milk
16,bread
17,bread
17,bread
17,cheese
18,eggs
18,eggs
18,bread
19,milk
19,eggs
19,eggs
20,eggs
20,beer
20,eggs
21,beer
21,beer
21,milk
22,bread
22,beer
22,bread
23,cheese
23,cheese
23,cheese
24,bread
24,cheese
24,milk
25,cheese
25,beer
25,milk
26,beer
26,eggs
26,eggs
27,beer
27,eggs
27,milk
28,eggs
28,bread
28,milk
29,milk
29,milk
29,beer
30,beer
30,milk
30,bread
31,milk
31,bread
31,eggs
32,beer
32,eggs
32,beer
33,milk
33,cheese
33,beer
34,milk
34,bread
34,milk
35,cheese
35,milk
35,beer
36,bread
36,eggs
36,eggs
37,milk
37,cheese
37,beer
38,bread
38,eggs
38,beer
39,bread
39,beer
39,bread
40,bread
40,milk
40,eggs
41,cheese
41,milk
41,bread
42,eggs
42,cheese
42,bread
43,beer
43,cheese
43,beer
44,cheese
44,beer
44,cheese
45,beer
45,eggs
45,beer
46,eggs
46,cheese
46,eggs
47,bread
47,cheese
47,milk
48,eggs
48,cheese
48,cheese
49,milk
49,cheese
49,cheese
50,milk
50,bread
50,cheese
51,bread
51,cheese
51,milk
52,milk
52,milk
52,cheese
53,eggs
53,bread
53,bread
54,milk
54,beer
54,cheese
55,bread
55,beer
55,eggs
56,beer
56,milk
56,milk
57,eggs
57,milk
57,beer
58,beer
58,bread
58,bread
59,beer
59,eggs
59,milk
60,milk
60,bread
60,beer
61,bread
61,cheese
61,bread
62,cheese
62,milk
62,milk
63,eggs
63,bread
63,beer
64,beer
64,eggs
64,cheese
65,eggs
65,cheese
65,cheese
66,beer
66,eggs
66,eggs
67,cheese
67,beer
67,bread
68,eggs
68,beer
68,cheese
69,milk
69,bread
69,milk
70,eggs
70,bread
70,beer
71,milk
71,cheese
71,eggs
72,eggs
72,cheese
72,cheese
73,beer
73,eggs
73,cheese
74,eggs
74,bread
74,milk
75,bread
75,eggs
75,beer
76,bread
76,beer
76,beer
77,milk
77,beer
77,cheese
78,cheese
78,bread
78,eggs
79,beer
79,bread
79,eggs
80,beer
80,beer
80,beer
81,beer
81,cheese
81,milk
82,bread
82,milk
82,bread
83,bread
83,beer
83,cheese
84,eggs
84,bread
84,beer
85,milk
85,cheese
85,eggs
86,milk
86,eggs
86,eggs
87,cheese
87,cheese
87,cheese
88,bread
88,eggs
88,beer
89,beer
89,cheese
89,cheese
90,cheese
90,milk
90,eggs
91,bread
91,milk
91,eggs
92,bread
92,cheese
92,eggs
93,bread
93,beer
93,eggs
94,milk
94,cheese
94,bread
95,beer
95,eggs
95,cheese
96,eggs
96,milk
96,eggs
97,milk
97,cheese
97,bread
98,eggs
98,milk
98,cheese
99,cheese
99,bread
99,bread
100,eggs
100,milk
100,milk
